price,address,date_sold,bedroom,bathroom,carport,dwelling
1020000,61 Lindsay Street,2020-08-18,3,1,0,House
7490000,25 Moir Street,2020-08-10,3,1,1,House
260000,8/133 Lincoln Street,2020-07-28,2,1,1,Apartment
320000,14/130 Terrace Road,2020-07-10,2,1,0,Apartment
449000,33/67 Brewer Street,2020-07-09,2,2,1,Apartment
385000,83/250 Beaufort Street,2020-07-06,2,2,2,Apartment
1000000,203 Lake Street,2020-07-01,4,3,2,House
310000,1D/811 Hay Street,2020-06-28,2,1,0,Apartment
452800,5/478 William Street,2020-06-22,3,2,2,Apartment
249000,3/375 Hay Street,2020-06-20,1,1,0,Apartment
810000,10 Church Street,2020-06-17,3,2,1,House
775000,2a Randell Street,2020-06-17,4,3,2,House
450000,120/580 Hay Street,2020-06-11,1,1,1,Apartment
965000,40 Bulwer Street,2020-06-04,4,1,2,House
809450,"Lot 1103, Burleigh D Burleigh ",2020-06-01,4,2,2,House
315000,8/418-428 Murray Street,2020-05-21,2,1,1,Unit
306000,50/378 Beaufort St,2020-05-20,1,1,1,Apartment
1250000,1-5/55 Gladstone Street,2020-05-13,1,1,1,House
275000,4/101 Murray Street,2020-05-13,1,1,1,Apartment
620000,29/101 Murray Street,2020-05-10,3,2,2,Apartment
760000,16 Robinson Avenue,2020-05-08,3,2,2,House
290000,11/75 Glendower Street,2020-05-06,2,1,1,Unit
320000,4/418-428 Murray Street,2020-04-28,2,1,1,Apartment
735000,14/45-47 Stuart Street,2020-04-26,3,2,2,Townhouse
650000,94/132 Terrace Road,2020-04-17,2,2,2,Apartment
415000,6/207 Bulwer Street,2020-04-15,2,1,1,Apartment
1000000,166 Lake Street,2020-04-10,3,2,1,House
319000,49/229 Adelaide Terrace,2020-04-08,1,1,1,Unit
600000,60/580 Hay Street,2020-03-31,2,2,2,Apartment
585000,4/82 King Street,2020-03-30,2,2,1,Apartment
290000,62/101 Murray St,2020-03-27,1,1,1,Apartment
425000,106/580 Hay Street,2020-03-27,1,1,1,Apartment
810000,58/580 Hay Street,2020-03-27,3,2,2,Apartment
575000,19/65 Palmerston St,2020-03-24,3,2,2,Townhouse
335000,16/448 Murray Street,2020-03-24,2,1,1,Apartment
365000,30/59 Brewer Street,2020-03-23,2,2,1,Unit
800000,212 Brisbane Street,2020-03-19,3,1,0,House
715000,30 Randell Street,2020-03-15,2,1,0,House
480000,9/82 King Street,2020-03-14,1,2,0,Apartment
415000,44/250 Beaufort Street,2020-03-10,2,2,0,Apartment
615000,27 Lane Street,2020-03-09,2,1,0,House
1299000,23/137-143 Lake Street,2020-03-09,3,2,2,Apartment
220000,202/126 Mounts Bay Road,2020-03-08,1,1,0,Apartment
485000,2/305 Bulwer Street,2020-03-08,2,1,1,Townhouse
550000,4/54 Cheriton Street,2020-03-05,2,2,2,Apartment
605000,81/580 Hay Street,2020-03-04,2,2,2,Apartment
393000,2418/380 Murray Street,2020-03-04,1,1,0,Apartment
355000,Unit 1/10 Wright Street,2020-03-03,2,1,0,Townhouse
880000,11A Bulwer Avenue,2020-03-01,3,2,2,House
751500,24 Stuart Street,2020-02-28,2,1,1,House
455000,11/2 Braid Street,2020-02-27,2,2,2,Apartment
453000,23/22 St Georges Terrace,2020-02-23,2,2,1,Apartment
285000,29/76 Newcastle Street,2020-02-22,1,1,1,Apartment
365000,14/122 Mounts Bay Road,2020-02-19,2,2,1,Apartment
435000,66/69 Milligan Street,2020-02-18,2,2,1,Apartment
405000,26/69 Milligan Street,2020-02-18,2,2,1,Apartment
365000,47/418 Murray Street,2020-02-18,2,1,1,Apartment
765000,5/18 Robinson Avenue,2020-02-18,3,2,2,Townhouse
240000,207/112 Mounts Bay Road,2020-02-13,1,1,1,Apartment
700000,612/11 Barrack Square,2020-02-12,1,1,1,Apartment
620000,43 West Parade,2020-02-11,2,1,1,Duplex
770000,217 Brisbane Street,2020-02-11,2,1,1,House
345000,16/250 Beaufort Street,2020-02-10,2,1,1,Apartment
880000,10 Robinson Avenue,2020-02-10,2,2,2,House
350000,16/315 Bulwer Street,2020-02-03,1,1,1,Townhouse
590000,30A Windsor Street,2020-02-02,2,2,2,House
420000,35/152 Fitzgerald Street,2020-01-31,2,2,1,Apartment
299000,6/150 Stirling St,2020-01-28,1,1,1,Apartment
390000,16/255 Adelaide Terrace,2020-01-24,2,2,1,Apartment
775000,66B Robinson Avenue,2020-01-24,3,1,2,House
359000,2/10 Smith Street,2020-01-23,1,1,1,Apartment
355000,6/122 Mounts Bay Road,2020-01-23,2,2,1,Apartment
525000,48/580 Hay Street,2020-01-22,2,2,2,Apartment
414000,806/380 Murray Street,2020-01-21,1,1,0,Apartment
225000,5/120 Terrace Rd,2020-01-20,1,1,1,Apartment
620000,226 Brisbane Street,2020-01-18,2,1,1,House
215000,4E/811 Hay Street,2020-01-17,1,1,0,Apartment
460000,68/154 Newcastle Street,2020-01-13,2,2,1,Apartment
820000,3/69 Murray Street,2020-01-13,3,2,2,Apartment
277000,95/250 Beaufort Street,2020-01-12,1,1,1,Apartment
440000,181/369 Hay  Street,2020-01-10,2,2,2,Apartment
385000,2/478 William Street,2020-01-07,2,2,2,Unit
420000,2/296 Newcastle Street,2020-01-06,2,2,1,Apartment
535000,1906/105 Stirling Street,2020-01-06,2,2,2,Apartment
280000,511/126 Mounts Bay Road,2019-12-27,1,1,1,Apartment
275000,V808/9 Victoria Avenue,2019-12-22,1,1,1,Apartment
710000,32 Wade Street,2019-12-21,3,1,1,House
180000,807/12 Victoria Avenue,2019-12-20,1,1,0,Apartment
630000,14/34 Palmerston Street,2019-12-16,2,2,1,Townhouse
255000,10B/811 Hay Street,2019-12-15,1,1,0,Apartment
182000,55/76 Newcastle Street,2019-12-13,1,1,1,Apartment
515000,21/128 Mounts Bay Road,2019-12-13,3,2,2,Apartment
401000,516/380 Murray Street,2019-12-13,1,1,0,Apartment
343889,25/448 Murray Street,2019-12-13,2,1,1,Apartment
