date,address,price,dwelling,bathroom,bedroom,carport,size_m2,day,day_of_week,weekend
2020-09-30,"605/108 Terrace Road, EAST PERTH WA 6004",770000,Apartment,2,2,1,129,Wednesday,2,0
2020-09-29,"312/45 Adelaide Terrace, EAST PERTH WA 6004",220000,Apartment,1,1,0,124,Tuesday,1,0
2020-09-29,"610/2 St Georges Terrace, PERTH WA 6000",324000,Apartment,1,1,1,264,Tuesday,1,0
2020-09-25,"4B Stuart Street, PERTH WA 6000",680000,House,1,3,1,124,Friday,4,0
2020-09-25,"50/48 Havelock Street, WEST PERTH WA 6005",400000,Apartment,2,2,1,491,Friday,4,0
2020-09-24,"73/189 Adelaide Terrace, EAST PERTH WA 6004",570000,Apartment,2,2,1,519,Thursday,3,0
2020-09-24,"27/154 Newcastle Street, PERTH WA 6000",400000,Apartment,1,1,1,123,Thursday,3,0
2020-09-22,"27/20 Royal Street, EAST PERTH WA 6004",755000,Apartment,2,2,2,129,Tuesday,1,0
2020-09-22,"46/46 Smith Street, HIGHGATE WA 6003",312000,Apartment,1,3,1,118,Tuesday,1,0
2020-09-21,"15/37 Mount Street, WEST PERTH WA 6005",400000,Apartment,3,3,4,645,Monday,0,0
2020-09-18,"2004/63 Adelaide Terrace, EAST PERTH WA 6004",420000,Apartment,1,1,1,278,Friday,4,0
2020-09-18,"91/189 Adelaide Terrace, EAST PERTH WA 6004",595000,Apartment,2,2,1,273,Friday,4,0
2020-09-17,"105 Zebina Street, EAST PERTH WA 6004",802000,House,1,3,3,246,Thursday,3,0
2020-09-16,"2/25 Haig Park Circle, EAST PERTH WA 6004",800000,Apartment,2,2,1,174,Wednesday,2,0
2020-09-16,"53/134 Aberdeen Street, NORTHBRIDGE WA 6003",375000,Apartment,2,2,1,328,Wednesday,2,0
2020-09-15,"12/151 Adelaide Tce, EAST PERTH WA 6004",445000,Apartment,2,2,1,111,Tuesday,1,0
2020-09-15,"21/49-53 Bronte Street, EAST PERTH WA 6004",335000,Apartment,1,2,1,116,Tuesday,1,0
2020-09-14,"127/369 Hay Street, PERTH WA 6000",325000,Apartment,1,1,1,216,Monday,0,0
2020-09-11,"6/2A Goderich Street, EAST PERTH WA 6004",363000,House,2,2,1,415,Friday,4,0
2020-09-11,"113  (Lot 31)/228 James Street, NORTHBRIDGE WA 6003",400000,Apartment,1,2,0,233,Friday,4,0
2020-09-11,"52/101 Murray Street, PERTH WA 6000",265000,Apartment,1,1,1,196,Friday,4,0
2020-09-09,"2/48 Outram Street, WEST PERTH WA 6005",400000,Apartment,1,1,1,123,Wednesday,2,0
2020-09-08,"41/123 Wellington Street, EAST PERTH WA 6004",395000,Apartment,2,3,1,195,Tuesday,1,0
2020-09-04,"605/63 Adelaide Terrace, EAST PERTH WA 6004",365000,Apartment,1,1,1,550,Friday,4,0
2020-09-04,"40/35 Wellington Street, EAST PERTH WA 6004",309500,Apartment,1,1,1,115,Friday,4,0
2020-09-04,"59/269 Hay Street, EAST PERTH WA 6004",405000,Apartment,2,2,1,197,Friday,4,0
2020-09-04,"13/432 Beaufort Street, HIGHGATE WA 6003",400000,House,1,1,1,403,Friday,4,0
2020-09-04,"548 Newcastle Street, WEST PERTH WA 6005",860000,House,1,5,2,350,Friday,4,0
