address,price,dwelling,bathroom,bedroom,carport,size_m2
"42/43 Wickham Street, EAST PERTH WA 6004",495000,Apartment,2,2,1,509
"16 Plunkett Street, HIGHGATE WA 6003",899000,House,2,3,1,890
"2701/237 Adelaide Terrace, PERTH WA 6000",3,Apartment,4,4,2,340
"41 Cowle Street, WEST PERTH WA 6005",24,House,2,4,1,160
"4E/1303 Hay Street, WEST PERTH WA 6005",300000,Apartment,1,1,1,161
"2501/8 Adelaide Terrace, EAST PERTH WA 6004",2,Apartment,3,3,2,271
"903/11 Barrack Square, PERTH WA 6000",1460000,Apartment,2,2,1,101
"12 Lane Street, PERTH WA 6000",789000,House,1,3,3,154
"5/16 Prowse Street, WEST PERTH WA 6005",859000,Apartment,2,3,2,143
"609/130A Mounts Bay Road, PERTH WA 6000",189000,Apartment,1,1,0,149
"3/355 NEWCASTLE STREET, NORTHBRIDGE WA 6003",1150000,Unknown,1,1,2,107
"20/17 Wickham Street, EAST PERTH WA 6004",375000,Off the Plan,2,2,1,182
"12/17 Wickham Street, EAST PERTH WA 6004",478000,Off the Plan,3,3,1,146
"G 17/42-52 Terrace Road, EAST PERTH WA 6004",400000,Apartment,2,3,1,197
"20/118 Royal Street, EAST PERTH WA 6004",600000,Apartment,2,2,2,322
"23/337 Lord Street, HIGHGATE WA 6003",499000,Apartment,1,2,2,233
"5D/1303 Hay Street, WEST PERTH WA 6005",439000,Apartment,2,3,1,189
"18/150 Stirling Street, PERTH WA 6000",299000,Apartment,2,2,1,138
"42/78 Terrace Road, EAST PERTH WA 6004",799000,Apartment,2,3,2,209
"43/88 Terrace Road, EAST PERTH WA 6004",1,Apartment,2,3,2,193
"106/90 Terrace Road, EAST PERTH WA 6004",1499000,Apartment,1,2,3,137
"14 Hope Street, PERTH WA 6000",800000,House,1,1,2,108
"189 Fitzgerald Street, WEST PERTH WA 6005",680000,House,2,2,1,217
"202/189 Adelaide Terrace, EAST PERTH WA 6004",700000,Apartment,1,1,1,141
PERTH WA 6000,397000,Off the Plan,1,1,0,357
PERTH WA 6000,528000,Off the Plan,2,2,0,363
"62/47 Forrest Avenue, EAST PERTH WA 6004",615000,Apartment,2,3,1,120
"154a Lake Street, PERTH WA 6000",600000,House,1,1,1,359
"2/128 Mounts Bay Road, PERTH WA 6000",299000,Apartment,1,1,1,273
"83/369 Hay Street, PERTH WA 6000",339000,Apartment,1,2,1,161
"9/273 Hay Street, EAST PERTH WA 6004",288000,Apartment,1,1,1,160
"15/114 Terrace Road, PERTH WA 6000",219000,Villa,1,1,0,258
"205/(Lot39) 228 James Street, NORTHBRIDGE WA 6003",300,Apartment,2,2,1,126
"602/63 Adelaide Terrace, EAST PERTH WA 6004",549000,Apartment,2,2,1,173
"13/2 Douro Place, WEST PERTH WA 6005",469000,Apartment,1,2,1,395
"27/288 Lord Street, HIGHGATE WA 6003",369000,Apartment,1,1,1,141
"19/34 Carr Street, WEST PERTH WA 6005",389000,Apartment,1,3,1,255
"7/28 Oak Lane, WEST PERTH WA 6005",500000,Townhouse,2,2,2,200
"1401/659 Murray Street, WEST PERTH WA 6005",499000,Apartment,2,3,1,161
"38/22 St Georges Terrace, PERTH WA 6000",895000,Apartment,2,2,2,617
"138/181 Adelaide Terrace, EAST PERTH WA 6004",579000,Apartment,1,1,1,119
"U70/33 Newcastle Street, PERTH WA 6000",299000,Apartment,2,2,1,320
"72/131 Adelaide Terrace, EAST PERTH WA 6004",400000,Apartment,2,2,1,357
"15/43 Wickham Street, EAST PERTH WA 6004",479000,Apartment,2,3,2,143
"39/5 Delhi Street, WEST PERTH WA 6005",400,Apartment,1,2,1,206
"4/273 Lord Street, PERTH WA 6000",390000,Apartment,1,1,1,215
"1105/63 Adelaide Terrace, EAST PERTH WA 6004",390000,Apartment,2,2,1,147
"72/189 Adelaide Terrace, EAST PERTH WA 6004",670000,Apartment,2,2,1,589
"68/131 Harold Street, HIGHGATE WA 6003",499000,Apartment,2,3,2,142
"3/2A Janet Street, WEST PERTH WA 6005",630000,Townhouse,2,3,1,108
"118/580 Hay Street, PERTH WA 6000",800000,Apartment,2,2,2,119
"505/108 Terrace Road, EAST PERTH WA 6004",749000,Apartment,2,3,2,136
"9 Dangan Street, PERTH WA 6000",799,House,4,4,2,125
"8 Vanguard Terrace, EAST PERTH WA 6004",2950000,House,3,3,2,381
"1/47 Forrest Avenue, EAST PERTH WA 6004",1,Apartment,1,1,2,114
"307/11 Barrack Square, PERTH WA 6000",500,Apartment,2,2,0,122
"63/22 St Georges Terrace, PERTH WA 6000",550000,Apartment,1,3,1,132
"150/22 St Georges Terrace, PERTH WA 6000",1600000,Apartment,2,3,3,193
"1-5/55 Gladstone Street, PERTH WA 6000",1250000,House,4,4,1,317
"11/269 Hay Street, EAST PERTH WA 6004",480000,Apartment,2,3,1,192
"B/136 Glendower Street, PERTH WA 6000",899000,House,1,2,2,107
"29/190 Hay Street, EAST PERTH WA 6004",200,Apartment,2,2,1,314
"12/82 King Street, PERTH WA 6000",1,Apartment,1,1,1,162
"9/112-122 GODERICH STREET, EAST PERTH WA 6004",189000,Apartment,1,2,1,690
"2F Brisbane Place, PERTH WA 6000",625000,Townhouse,1,1,1,278
"13/118 Terrace Road, PERTH WA 6000",250000,Apartment,1,1,0,161
"43/131 Harold Street, HIGHGATE WA 6003",339000,Apartment,3,3,1,147
"51/170 Adelaide Terrace, EAST PERTH WA 6004",439000,Apartment,1,2,1,167
"8 Plunkett Street, HIGHGATE WA 6003",899000,House,1,2,2,151
"21/273 Hay Street, EAST PERTH WA 6004",349000,Apartment,2,3,1,107
"34D Cleaver Street, WEST PERTH WA 6005",779000,Townhouse,1,1,2,102
"5D/811 Hay Street, PERTH WA 6000",295000,Apartment,2,3,0,784
"70/155 Adelaide Terrace, EAST PERTH WA 6004",29,Apartment,1,3,2,126
"17/125 Wellington Street, EAST PERTH WA 6004",399000,Apartment,2,2,1,109
"45/188 Adelaide Terrace, EAST PERTH WA 6004",399000,Apartment,2,2,1,294
"13/48 Outram Street, WEST PERTH WA 6005",439000,Apartment,1,3,1,145
"63/100 TERRACE ROAD, EAST PERTH WA 6004",1200000,Apartment,2,2,2,109
"28/369 Hay Street, PERTH WA 6000",429000,Apartment,1,2,1,266
"6/10 Smith Street, PERTH WA 6000",395000,Apartment,1,3,1,224
"379 Bulwer Street, WEST PERTH WA 6005",799000,House,2,2,1,113
"71/148 Adelaide Terrace, EAST PERTH WA 6004",549000,Apartment,1,3,2,394
"7/42-44 Bronte St, EAST PERTH WA 6004",439000,Apartment,2,2,1,779
"16/580 Hay Street, PERTH WA 6000",479000,Apartment,3,3,1,196
"2/50 Royal Street, EAST PERTH WA 6004",1000000,Apartment,2,2,2,138
"410/9 Tully Road, EAST PERTH WA 6004",495000,Apartment,2,3,1,288
"10/20 Pendal Lane, PERTH WA 6000",390000,Apartment,2,3,1,345
"3/2 Outram Street, WEST PERTH WA 6005",395000,Apartment,1,3,2,146
"8/4 Bellevue Terrace, WEST PERTH WA 6005",11,Apartment,1,2,1,216
"11 Florence Street, WEST PERTH WA 6005",895000,House,1,1,1,589
"15a/120-122 Lake Street, NORTHBRIDGE WA 6003",389000,Apartment,2,2,1,498
"37/250 Beaufort Street, PERTH WA 6000",279000,Apartment,1,1,1,257
"50/22 Nile Street, EAST PERTH WA 6004",349000,Apartment,1,2,1,491
"4/23 Wellington Street, EAST PERTH WA 6004",299000,Apartment,2,2,1,304
"4/148 Adelaide Terrace, EAST PERTH WA 6004",400000,Apartment,2,3,1,165
"8/153 Kensington Street, EAST PERTH WA 6004",399000,Apartment,1,2,2,498
"19/70 Wittenoom Street, EAST PERTH WA 6004",899000,Apartment,2,2,1,285
"47/175 Hay Street, EAST PERTH WA 6004",389000,House,2,2,1,103
"104/15 Aberdeen St, PERTH WA 6000",409000,Apartment,2,3,2,203
"6 Edith Street, PERTH WA 6000",700,Townhouse,2,2,2,123
"11/8 Outram Street, WEST PERTH WA 6005",600000,Apartment,1,3,2,115
"25 Tully Road, EAST PERTH WA 6004",1100000,House,1,1,1,143
"47 Wellington Street, EAST PERTH WA 6004",700000,House,2,3,0,552
"38 Wade Street, PERTH WA 6000",649000,House,2,3,2,651
"2402/8 Adelaide Terrace, EAST PERTH WA 6004",1525000,Penthouse,2,2,2,750
"607/2 Moreau Parade, EAST PERTH WA 6004",830000,Apartment,1,2,1,130
"206/8 Moreau Parade, EAST PERTH WA 6004",465000,Apartment,1,2,1,114
"213/8 Moreau Parade, EAST PERTH WA 6004",340000,Studio,1,3,1,125
"16 Court Street, HIGHGATE WA 6003",575000,House,2,2,1,125
"8/151 Adelaide Tce, EAST PERTH WA 6004",445000,Apartment,1,2,1,125
"106/131 Harold Street, HIGHGATE WA 6003",400000,Apartment,2,3,1,125
"60/6 Campbell Street, WEST PERTH WA 6005",329000,Apartment,2,3,1,125
"50/580 Hay Street, PERTH WA 6000",800000,Apartment,2,2,1,125
"1802/63 Adelaide Terrace, EAST PERTH WA 6004",695000,Apartment,2,3,1,125
"904/251 Hay Street, EAST PERTH WA 6004",390000,Apartment,2,2,1,125
"116/151 Adelaide Terrace, EAST PERTH WA 6004",580000,Apartment,2,2,2,125
"57 Forrest Avenue, EAST PERTH WA 6004",750000,Vacant land,1,1,1,125
"140/996 Hay Street, PERTH WA 6000",650000,Apartment,1,3,0,125
"4/71 Brewer Street, PERTH WA 6000",399000,Apartment,2,2,1,125
"23/7 Bronte Street, EAST PERTH WA 6004",469000,Apartment,2,1,2,125
"3/188 Adelaide Terrace, EAST PERTH WA 6004",4,Apartment,2,2,1,125
"6 Wittenoom Street, EAST PERTH WA 6004",1,House,1,1,1,125
"67/18 Wellington Street, EAST PERTH WA 6004",295000,Apartment,1,2,1,125
"65/1 Carr Street, WEST PERTH WA 6005",399000,Apartment,2,1,2,125
"43/1324 Hay Street, WEST PERTH WA 6005",519000,Apartment,1,3,2,125
"23 Phelps Lane, HIGHGATE WA 6003",499000,Townhouse,1,3,2,125
"8/990 Wellington Street, WEST PERTH WA 6005",329000,Apartment,2,2,1,125
"29 Cowle Street, WEST PERTH WA 6005",735000,House,2,1,1,125
"11/5 Delhi Street, WEST PERTH WA 6005",400,Apartment,2,2,1,125
"58/4 Delhi St, WEST PERTH WA 6005",369000,Apartment,1,1,2,125
"40/134 Aberdeen Street, NORTHBRIDGE WA 6003",375000,Apartment,3,3,1,125
"1/8 Prowse Street, WEST PERTH WA 6005",459000,Apartment,2,2,4,125
PERTH WA 6000,249000,Apartment,2,3,2,125
"14/156 Lincoln Street, HIGHGATE WA 6003",279000,Apartment,2,2,2,125
"20/269 James Street, NORTHBRIDGE WA 6003",400000,Apartment,1,1,1,125
"10/2 Pisconeri Street, PERTH WA 6000",349000,Apartment,1,2,1,125
"1/1 Erskine Link, EAST PERTH WA 6004",400000,Apartment,1,2,0,125
"39/120-122 Lake Street, PERTH WA 6000",339000,Apartment,2,2,0,125
"40/144 Lincoln Street, HIGHGATE WA 6003",189000,Apartment,2,3,0,125
"2/273 Hay Street, EAST PERTH WA 6004",259000,Apartment,3,1,2,125
"66-70 Wright Street, HIGHGATE WA 6003",430000,Apartment,1,1,2,125
"51/189 Adelaide Terrace, EAST PERTH WA 6004",799000,Apartment,2,2,1,125
"54/255 Adelaide Terrace, PERTH WA 6000",1280000,Apartment,2,3,1,125
"52/34 East Parade, EAST PERTH WA 6004",399000,Apartment,1,3,1,125
"17/188 Newcastle Street, PERTH WA 6000",400,Apartment,2,1,1,125
"64/100 Terrace Road, EAST PERTH WA 6004",799000,Apartment,1,2,1,125
"66/123 Wellington Street, EAST PERTH WA 6004",390000,Apartment,1,1,1,125
"20/17 Wickham Street, EAST PERTH WA 6004",290,Apartment,1,2,1,125
"107/228 James Street, NORTHBRIDGE WA 6003",395000,Townhouse,2,1,1,125
"G2/122 Brown Street, EAST PERTH WA 6004",300000,Apartment,1,1,1,125
"6/36 Smith Street, HIGHGATE WA 6003",289000,Apartment,1,2,1,125
"7/2 Bremer Promenade, EAST PERTH WA 6004",349000,Apartment,2,2,1,125
"25/138 Adelaide Terrace, EAST PERTH WA 6004",179000,Apartment,1,3,2,125
"61/15 Aberdeen Street, PERTH WA 6000",299000,Apartment,3,3,1,125
"63 Henry Lawson Walk, EAST PERTH WA 6004",700000,Townhouse,1,2,0,125
"2/11 Brown Street, EAST PERTH WA 6004",5950000,Apartment,3,1,1,125
"11 Mary Street, HIGHGATE WA 6003",700000,House,1,2,2,125
"193/369 Hay Street, PERTH WA 6000",370000,Apartment,2,2,0,125
"6/19 Ventnor Avenue, WEST PERTH WA 6005",385000,Apartment,1,1,2,125
"703/237 Adelaide Terrace, PERTH WA 6000",300000,Apartment,2,2,1,125
"1505/8 Adelaide Terrace, EAST PERTH WA 6004",485000,Apartment,2,2,1,125
"9/22 Brown Street, EAST PERTH WA 6004",400000,Apartment,2,1,2,125
